country_iso3,t,gdp,gdpcap,pop,source
UGA,2019,35353061003.4359,822.171150036357,42999637.0,WB
UGA,2020,37600368241.6657,845.766463890124,44457152.0,WB
UGA,2021,40529788748.6737,882.791717542504,45910930.0,WB
UGA,2022,45565333210.9108,963.067314117178,47312719.0,WB
UGA,2023,48768955863.3175,1002.30913917142,48656601.0,WB
UGA,2024,53911907086.1525,1077.91278452817,50015092.0,WB
UGA,2025,65934535434.214035,1311.438528457509,50276497.14681258,OptionA
UGA,2030,93600515001.08261,1627.0637390172462,57527257.69527489,OptionA
UGA,2035,130903941978.9828,2006.099323726404,65252971.49087507,OptionA
UGA,2040,182558470631.0984,2492.4083356248375,73245811.29894659,OptionA
UGA,2045,253424349113.20807,3114.788182824916,81361663.85586073,OptionA
UGA,2050,349321292045.5001,3904.415499966697,89468267.92601342,OptionA
UGA,2055,476925298545.252,4899.722766619778,97337200.7482524,OptionA
UGA,2060,643307479165.5763,6132.51720488757,104901047.59149556,OptionA
UGA,2065,856348042081.377,7634.173748440961,112172982.99717884,OptionA
UGA,2070,1123856100575.441,9443.817507747764,119004427.99253824,OptionA
UKR,2012,182591753827.949,3951.34228515625,46210056.0,WB
UKR,2013,190498811460.028,4129.89697265625,46126770.0,WB
UKR,2014,133503871861.723,3054.908203125,45972380.0,WB
UKR,2015,91030967789.0717,2094.47387695313,45784896.0,WB
UKR,2016,93355869403.9223,2158.46118164063,45616832.0,WB
UKR,2017,112090505081.739,2604.28759765625,45436041.0,WB
UKR,2018,130891088293.55,3059.0517578125,45208907.0,WB
UKR,2019,153883047509.577,3619.86157226563,44957458.0,WB
UKR,2020,156617722013.342,3709.76928710938,44680014.0,WB
UKR,2021,199765859570.935,4775.94580078125,44298640.0,WB
UKR,2022,161989520721.19,4199.6708984375,41048766.0,WB
UKR,2023,181221517868.744,5139.59814453125,37732836.0,WB
UKR,2024,190741262414.705,5389.47314453125,37860221.0,WB
UKR,2025,136367165401.68338,3132.8494472801035,43528157.89474833,OptionA
UKR,2030,161778479690.21902,3793.905696109175,42641671.314110495,OptionA
UKR,2035,189152569404.75867,4514.051431149708,41903060.31949272,OptionA
UKR,2040,217866914648.31976,5273.457163605148,41313868.28206966,OptionA
UKR,2045,246859093039.76706,6049.300163573422,40807876.343491495,OptionA
UKR,2050,276170200732.2253,6844.967757767398,40346457.500670955,OptionA
UKR,2055,308140981996.6352,7717.627567341994,39926904.90800156,OptionA
UKR,2060,344414704138.9316,8707.381787677978,39554335.91143563,OptionA
UKR,2065,383459522521.8633,9809.65961896026,39089992.661998875,OptionA
UKR,2070,422925142360.03064,10970.272027503475,38551928.45717213,OptionA
URY,2012,54232266358.7811,16259.5940814256,3335401.0,WB
URY,2013,61337621933.7857,18335.2594772322,3345337.0,WB
URY,2014,61496186973.902,18322.4276767157,3356334.0,WB
URY,2015,57680327998.6689,17125.9016800298,3368017.0,WB
URY,2016,57480787465.2716,17009.7584207276,3379283.0,WB
URY,2017,65005997963.4822,19184.6502617082,3388438.0,WB
URY,2018,65344577415.7535,19249.9404677501,3394534.0,WB
URY,2019,62222313618.8454,18315.7316980028,3397206.0,WB
URY,2020,53559359261.826,15757.5355995779,3398968.0,WB
URY,2021,60739084240.8633,17881.818721099,3396695.0,WB
URY,2022,70594110920.0358,20818.6146091144,3390913.0,WB
URY,2023,77991666837.7382,23019.4221560046,3388081.0,WB
URY,2024,80961511073.5797,23906.5133029408,3386588.0,WB
URY,2025,80215080047.24002,23531.521506801295,3408835.252070527,OptionA
URY,2030,91649413139.94827,26837.069227541106,3415030.619136852,OptionA
URY,2035,102860023760.9701,30193.5739296419,3406685.9392219693,OptionA
URY,2040,114036129921.18456,33696.452847080844,3384217.6337876352,OptionA
URY,2045,125227818741.11848,37397.527140688726,3348558.8036346366,OptionA
URY,2050,136711125907.2307,41436.2573650935,3299311.6319042393,OptionA
URY,2055,148044171711.7625,45714.342388962265,3238462.241283554,OptionA
URY,2060,158962050939.48325,50139.085116353664,3170421.8489546236,OptionA
URY,2065,169816486481.20334,54776.383345861,3100177.049093822,OptionA
URY,2070,180621947949.51944,59642.303561921086,3028420.0502416273,OptionA
USA,2012,16253972230000.0,51708.4011556577,314339099.0,WB
USA,2013,16843190993000.0,53179.0127634561,316726282.0,WB
USA,2014,17550680174000.0,54973.4207515712,319257560.0,WB
USA,2015,18206020741000.0,56572.9188996063,321815121.0,WB
USA,2016,18695110842000.0,57638.1018367192,324353340.0,WB
USA,2017,19477336549000.0,59635.0984397965,326608609.0,WB
USA,2018,20533057312000.0,62499.8744390068,328529577.0,WB
USA,2019,21380976119000.0,64746.4506778863,330226227.0,WB
USA,2020,21060473613000.0,63515.9491807833,331577720.0,WB
USA,2021,23315080560000.0,70205.050916026,332099760.0,WB
USA,2022,25604848907611.0,76657.2488844403,334017321.0,WB
USA,2023,27292170793214.4,81032.262117545,336806231.0,WB
USA,2024,28750956130731.2,84534.0407841548,340110988.0,WB
USA,2025,23551304462321.957,67756.55957807763,347587076.57202077,OptionA
USA,2030,25869939850003.453,71883.13798739728,359888849.79588723,OptionA
USA,2035,27995671604323.016,75383.42521961856,371377017.1992282,OptionA
